CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Spending_Income_Ratio,Age_Group,Income_Tier,Cluster,Segment_Name
1,Male,19,15,39,2.6,18-25,Low,4,Low Income / 18-25
2,Male,21,15,81,5.4,18-25,Low,4,Low Income / 18-25
3,Female,20,16,6,0.375,18-25,Low,5,Low Income / 46-55
4,Female,23,16,77,4.8125,18-25,Low,4,Low Income / 18-25
5,Female,31,17,40,2.3529411764705883,26-35,Low,5,Low Income / 46-55
6,Female,22,17,76,4.470588235294118,18-25,Low,4,Low Income / 18-25
7,Female,35,18,6,0.3333333333333333,26-35,Low,5,Low Income / 46-55
8,Female,23,18,94,5.222222222222222,18-25,Low,4,Low Income / 18-25
9,Male,64,19,3,0.15789473684210525,56-65,Low,5,Low Income / 46-55
10,Female,30,19,72,3.789473684210526,26-35,Low,4,Low Income / 18-25
11,Male,67,19,14,0.7368421052631579,66+,Low,5,Low Income / 46-55
12,Female,35,19,99,5.2105263157894735,26-35,Low,4,Low Income / 18-25
13,Female,58,20,15,0.75,56-65,Low,5,Low Income / 46-55
14,Female,24,20,77,3.85,18-25,Low,4,Low Income / 18-25
15,Male,37,20,13,0.65,36-45,Low,5,Low Income / 46-55
16,Male,22,20,79,3.95,18-25,Low,4,Low Income / 18-25
17,Female,35,21,35,1.6666666666666667,26-35,Low,5,Low Income / 46-55
18,Male,20,21,66,3.142857142857143,18-25,Low,4,Low Income / 18-25
19,Male,52,23,29,1.2608695652173914,46-55,Low,5,Low Income / 46-55
20,Female,35,23,98,4.260869565217392,26-35,Low,4,Low Income / 18-25
21,Male,35,24,35,1.4583333333333333,26-35,Low,5,Low Income / 46-55
22,Male,25,24,73,3.0416666666666665,18-25,Low,4,Low Income / 18-25
23,Female,46,25,5,0.2,46-55,Low,5,Low Income / 46-55
24,Male,31,25,73,2.92,26-35,Low,4,Low Income / 18-25
25,Female,54,28,14,0.5,46-55,Low,5,Low Income / 46-55
26,Male,29,28,82,2.9285714285714284,26-35,Low,4,Low Income / 18-25
27,Female,45,28,32,1.1428571428571428,36-45,Low,5,Low Income / 46-55
28,Male,35,28,61,2.1785714285714284,26-35,Low,4,Low Income / 18-25
29,Female,40,29,31,1.0689655172413792,36-45,Low,5,Low Income / 46-55
